trip_id,orig_lat,orig_lon,dest_lat,dest_lon,route,distance,num_trips
144.0,-23.552313453698986,-46.63114777872095,-23.55742397575517,-46.63636347769006,"[[-46.631146, -23.55252, 770.84], [-46.629754, -23.552524, 762.22], [-46.629566, -23.552506, 760.73], [-46.629416, -23.552471, 758.35], [-46.628984, -23.552283, 749.01], [-46.628791, -23.552244, 747.94], [-46.627562, -23.552177, 738.52], [-46.627463, -23.552404, 739.57], [-46.627416, -23.55262, 741.28], [-46.62721, -23.554387, 735.82], [-46.627242, -23.554478, 735.49], [-46.627709, -23.555373, 736.33], [-46.62754, -23.555687, 736.69], [-46.627519, -23.555808, 736.91], [-46.627562, -23.555919, 737.11], [-46.627627, -23.555989, 737.18], [-46.627869, -23.556185, 738.83], [-46.627982, -23.556249, 738.72], [-46.628155, -23.556321, 738.58], [-46.628583, -23.556398, 736.64], [-46.628856, -23.556429, 736.44], [-46.629387, -23.556447, 734.24], [-46.630238, -23.558074, 740.69], [-46.631963, -23.558181, 753.89], [-46.631989, -23.556979, 752.64], [-46.634121, -23.557109, 765.69], [-46.635926, -23.557238, 768.25], [-46.635913, -23.557364, 768.52], [-46.635947, -23.557415, 768.44], [-46.636007, -23.557439, 768.3], [-46.636064, -23.557432, 768.13], [-46.636288, -23.557309, 767.2]]",1.986894,36.848965
799.0,-23.55105033848943,-46.64133895024352,-23.5451517567706,-46.64151057761755,"[[-46.641308, -23.550989, 769.02], [-46.640415, -23.551397, 765.01], [-46.640519, -23.551484, 767.08], [-46.640574, -23.551632, 768.7], [-46.640663, -23.552253, 769.66], [-46.64069, -23.552807, 769.07], [-46.640655, -23.553421, 768.76], [-46.640611, -23.553675, 768.06], [-46.640438, -23.554337, 772.21], [-46.64141, -23.554263, 762.21], [-46.641362, -23.554051, 761.59], [-46.641356, -23.553771, 761.91], [-46.64148, -23.553444, 765.15], [-46.641542, -23.55332, 766.91], [-46.641562, -23.553231, 767.72], [-46.641674, -23.551242, 769.97], [-46.641661, -23.551186, 770.14], [-46.641702, -23.55118, 769.82], [-46.641775, -23.551127, 769.42], [-46.642015, -23.551165, 768.27], [-46.64233, -23.551171, 767.0], [-46.642377, -23.550975, 764.85], [-46.642482, -23.550698, 761.55], [-46.641975, -23.550498, 767.36], [-46.640909, -23.549999, 763.88], [-46.640729, -23.549895, 760.52], [-46.640438, -23.549793, 758.36], [-46.640273, -23.549753, 757.1], [-46.640151, -23.549958, 757.92], [-46.64022, -23.549988, 758.26], [-46.640246, -23.54993, 758.29], [-46.640175, -23.549876, 757.86], [-46.640056, -23.54985, 757.32], [-46.639939, -23.549882, 756.79], [-46.639863, -23.54995, 756.3], [-46.639758, -23.549913, 755.44], [-46.639877, -23.549788, 756.95], [-46.639942, -23.549682, 758.3], [-46.640015, -23.549512, 760.23], [-46.640056, -23.549334, 762.09], [-46.640061, -23.549092, 764.53], [-46.640026, -23.548912, 766.38], [-46.639985, -23.548797, 767.65], [-46.639552, -23.548032, 777.26], [-46.639339, -23.548151, 775.1], [-46.639337, -23.548053, 774.91], [-46.639266, -23.548093, 773.24], [-46.639238, -23.548012, 773.5], [-46.639116, -23.547862, 773.4], [-46.639199, -23.547806, 774.77], [-46.639212, -23.547822, 775.62], [-46.639668, -23.547424, 783.86], [-46.639729, -23.547391, 783.68], [-46.639761, -23.547423, 783.15], [-46.640466, -23.546901, 782.04], [-46.640616, -23.546771, 783.61], [-46.641745, -23.545245, 777.67], [-46.641562, -23.545098, 775.32]]",2.09734,455.222595
800.0,-23.546389221200457,-46.64062480453176,-23.55105033848943,-46.64133895024352,"[[-46.640813, -23.546507, 784.7], [-46.641082, -23.546141, 785.16], [-46.641407, -23.546332, 789.66], [-46.641838, -23.546543, 796.88], [-46.642279, -23.54671, 802.63], [-46.642499, -23.546776, 804.34], [-46.642947, -23.546845, 803.81], [-46.642764, -23.547659, 801.58], [-46.642645, -23.548279, 792.63], [-46.642486, -23.548935, 788.71], [-46.642148, -23.550486, 768.4], [-46.642112, -23.550554, 765.42], [-46.641998, -23.550666, 766.5], [-46.641308, -23.550989, 769.02]]",0.778147,455.222595
1493.0,-23.536054357913063,-46.63931147022913,-23.54952050842889,-46.64681506816159,"[[-46.639412, -23.535932, 751.9], [-46.640483, -23.536667, 753.88], [-46.64162, -23.537483, 754.27], [-46.642447, -23.538151, 759.33], [-46.643878, -23.539088, 761.47], [-46.644897, -23.53973, 760.82], [-46.644994, -23.539776, 760.69], [-46.64504, -23.539842, 760.64], [-46.645162, -23.540128, 760.66], [-46.645274, -23.540156, 760.56], [-46.645353, -23.540234, 760.58], [-46.645375, -23.540338, 760.59], [-46.645332, -23.540438, 760.68], [-46.645741, -23.5415, 759.58], [-46.645781, -23.541503, 759.11], [-46.645866, -23.541571, 758.67], [-46.645886, -23.541652, 758.79], [-46.645855, -23.54173, 758.89], [-46.645783, -23.541781, 759.75], [-46.646571, -23.54178, 753.63], [-46.64659, -23.541684, 753.31], [-46.64726, -23.541673, 752.57], [-46.647328, -23.54165, 752.63], [-46.647371, -23.541593, 752.44], [-46.647528, -23.541762, 753.22], [-46.647595, -23.541812, 753.42], [-46.647746, -23.541803, 753.84], [-46.647839, -23.545303, 763.57], [-46.647942, -23.5453, 763.97], [-46.647975, -23.546328, 770.03], [-46.647678, -23.547192, 770.51], [-46.64748, -23.54764, 771.73], [-46.64739, -23.547729, 772.04], [-46.64714, -23.548363, 773.73], [-46.646789, -23.549514, 775.44]]",2.08574,23.519416
1494.0,-23.54952050842889,-46.64681506816159,-23.536054357913063,-46.63931147022913,"[[-46.646789, -23.549514, 775.44], [-46.646655, -23.550013, 778.02], [-46.646542, -23.550546, 778.53], [-46.646652, -23.550578, 778.37], [-46.646821, -23.550189, 778.97], [-46.646167, -23.549971, 779.03], [-46.64633, -23.549535, 777.89], [-46.645605, -23.549309, 777.75], [-46.64555, -23.549277, 777.72], [-46.645493, -23.549193, 777.68], [-46.64531, -23.547481, 778.82], [-46.645038, -23.546525, 773.82], [-46.644886, -23.546055, 772.87], [-46.644744, -23.545493, 774.04], [-46.644438, -23.544411, 773.83], [-46.644378, -23.544364, 772.76], [-46.644326, -23.544344, 772.71], [-46.644214, -23.544349, 772.12], [-46.644374, -23.544155, 770.65], [-46.644416, -23.544042, 769.41], [-46.644438, -23.543833, 767.85], [-46.644423, -23.54376, 767.22], [-46.643856, -23.543266, 764.44], [-46.642988, -23.542574, 769.4], [-46.644373, -23.541111, 764.99], [-46.643411, -23.540569, 759.93], [-46.642911, -23.540264, 760.77], [-46.643373, -23.539703, 759.49], [-46.639117, -23.536904, 750.61], [-46.640494, -23.535198, 754.62], [-46.640317, -23.535089, 753.52], [-46.640179, -23.535051, 753.24], [-46.639424, -23.535066, 754.5], [-46.639185, -23.535084, 752.64], [-46.638839, -23.535535, 751.0], [-46.639412, -23.535932, 751.9]]",2.745825,23.519416
2195.0,-23.5272346723917,-46.62871323118797,-23.52434671195811,-46.62595511669081,"[[-46.62855, -23.527164, 728.31], [-46.62661, -23.530931, 729.66], [-46.625997, -23.532081, 727.72], [-46.625654, -23.532786, 726.86], [-46.625549, -23.533056, 726.05], [-46.625435, -23.533471, 726.67], [-46.625421, -23.533647, 726.74], [-46.625427, -23.534022, 727.54], [-46.625324, -23.534062, 727.37], [-46.625217, -23.534084, 727.15], [-46.625082, -23.534082, 726.88], [-46.625005, -23.534067, 726.66], [-46.625009, -23.533377, 725.68], [-46.625056, -23.533126, 725.72], [-46.625216, -23.532684, 726.1], [-46.625447, -23.53189, 727.46], [-46.625593, -23.531843, 727.49], [-46.625606, -23.531641, 727.55], [-46.625597, -23.530064, 727.84], [-46.625551, -23.528305, 726.75], [-46.625473, -23.526492, 728.16], [-46.625455, -23.525724, 728.35], [-46.625476, -23.525615, 728.48], [-46.625427, -23.525535, 728.41], [-46.625414, -23.525372, 728.51], [-46.625422, -23.525201, 728.66], [-46.625373, -23.523216, 725.94], [-46.625485, -23.523214, 726.12], [-46.625512, -23.524675, 729.04], [-46.626007, -23.524586, 729.74]]",2.327322,55.333034
2198.0,-23.5272346723917,-46.62871323118797,-23.52434671195811,-46.62595511669081,"[[-46.62855, -23.527164, 728.31], [-46.62661, -23.530931, 729.66], [-46.625997, -23.532081, 727.72], [-46.625654, -23.532786, 726.86], [-46.625549, -23.533056, 726.05], [-46.625435, -23.533471, 726.67], [-46.625421, -23.533647, 726.74], [-46.625427, -23.534022, 727.54], [-46.625324, -23.534062, 727.37], [-46.625217, -23.534084, 727.15], [-46.625082, -23.534082, 726.88], [-46.625005, -23.534067, 726.66], [-46.625009, -23.533377, 725.68], [-46.625056, -23.533126, 725.72], [-46.625216, -23.532684, 726.1], [-46.625447, -23.53189, 727.46], [-46.625593, -23.531843, 727.49], [-46.625606, -23.531641, 727.55], [-46.625597, -23.530064, 727.84], [-46.625551, -23.528305, 726.75], [-46.625473, -23.526492, 728.16], [-46.625455, -23.525724, 728.35], [-46.625476, -23.525615, 728.48], [-46.625427, -23.525535, 728.41], [-46.625414, -23.525372, 728.51], [-46.625422, -23.525201, 728.66], [-46.625373, -23.523216, 725.94], [-46.625485, -23.523214, 726.12], [-46.625512, -23.524675, 729.04], [-46.626007, -23.524586, 729.74]]",2.327322,41.029933
2199.0,-23.52434671195811,-46.62595511669081,-23.53010038481404,-46.63358665753749,"[[-46.626007, -23.524586, 729.74], [-46.627003, -23.524406, 730.45], [-46.62877, -23.524046, 729.85], [-46.628943, -23.52493, 729.85], [-46.628966, -23.524984, 729.89], [-46.629049, -23.525051, 729.94], [-46.629184, -23.525077, 729.94], [-46.629282, -23.525071, 730.07], [-46.629799, -23.52485, 728.86], [-46.630805, -23.524229, 730.65], [-46.631065, -23.525977, 729.54], [-46.631209, -23.52596, 729.56], [-46.631377, -23.526771, 731.36], [-46.631549, -23.526741, 731.24], [-46.631594, -23.52675, 731.22], [-46.632293, -23.527133, 731.19], [-46.632433, -23.527242, 731.01], [-46.633291, -23.527248, 730.52], [-46.633385, -23.527236, 730.27], [-46.6342, -23.529963, 744.0], [-46.634062, -23.530037, 744.67], [-46.633962, -23.530138, 744.77], [-46.633843, -23.530197, 745.43], [-46.633637, -23.530265, 745.34]]",1.5185350000000002,41.029933
4337.0,-23.552212606352395,-46.61398483860995,-23.546327008418523,-46.62072054217255,"[[-46.614119, -23.552195, 738.25], [-46.614197, -23.5527, 737.92], [-46.615007, -23.552668, 737.16], [-46.618486, -23.552324, 734.08], [-46.618584, -23.552337, 734.09], [-46.620253, -23.552134, 734.62], [-46.620226, -23.551752, 736.54], [-46.619409, -23.551851, 737.84], [-46.619433, -23.55137, 739.51], [-46.619451, -23.551283, 739.23], [-46.619495, -23.551198, 739.47], [-46.62216, -23.547302, 733.51], [-46.622731, -23.546442, 735.04], [-46.621413, -23.545841, 732.09], [-46.621022, -23.546482, 732.5]]",1.733431,129.20460400000002
4340.0,-23.552212606352395,-46.61398483860995,-23.546327008418523,-46.62072054217255,"[[-46.614119, -23.552195, 738.25], [-46.614197, -23.5527, 737.92], [-46.615007, -23.552668, 737.16], [-46.618486, -23.552324, 734.08], [-46.618584, -23.552337, 734.09], [-46.620253, -23.552134, 734.62], [-46.620226, -23.551752, 736.54], [-46.619409, -23.551851, 737.84], [-46.619433, -23.55137, 739.51], [-46.619451, -23.551283, 739.23], [-46.619495, -23.551198, 739.47], [-46.62216, -23.547302, 733.51], [-46.622731, -23.546442, 735.04], [-46.621413, -23.545841, 732.09], [-46.621022, -23.546482, 732.5]]",1.733431,120.767355
4343.0,-23.552212606352395,-46.61398483860995,-23.546327008418523,-46.62072054217255,"[[-46.614119, -23.552195, 738.25], [-46.614197, -23.5527, 737.92], [-46.615007, -23.552668, 737.16], [-46.618486, -23.552324, 734.08], [-46.618584, -23.552337, 734.09], [-46.620253, -23.552134, 734.62], [-46.620226, -23.551752, 736.54], [-46.619409, -23.551851, 737.84], [-46.619433, -23.55137, 739.51], [-46.619451, -23.551283, 739.23], [-46.619495, -23.551198, 739.47], [-46.62216, -23.547302, 733.51], [-46.622731, -23.546442, 735.04], [-46.621413, -23.545841, 732.09], [-46.621022, -23.546482, 732.5]]",1.733431,120.767355
