,ZONA_O,NOME_O,CO_O_X,CO_O_Y,CO_DOM_X,CO_DOM_Y,DATA,DIASEMANA,HORA_SAIDA,ZONA_D,NOME_D,CO_D_X,CO_D_Y,HORA_CHEG,DURACAO,IDADE,SEXO,TIPVG,MODOPRIN,MODO1,MODO2,MODO3,MODO4,FE_VIA,MOTIVO_O,MOTIVO_D,CO_T1_X,CO_T1_Y,CO_T2_X,CO_T2_Y,CO_T3_X,CO_T3_Y,CO_TR1_X,CO_TR1_Y,CO_TR2_X,CO_TR2_Y,PE_BICI,VIA_BICI,TP_ESTBICI,QT_BICICLE,QT_AUTO,QT_MOTO,CRITERIOBR,RENDA_FA
17137,10,Canindé,-23.521478594829404,-46.616077697221904,-23.521478594829404,-46.616077697221904,12/08/2018,6,06:40:00,39,Belém,-23.528186581956167,-46.60138085154815,07:00:00,1200,9,1,4,15,15,0,0,0,7.434710000000001,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,1,0,0,5,1976.34
17177,10,Canindé,-23.521999462092854,-46.6154866680903,-23.521999462092854,-46.6154866680903,11/08/2018,5,08:45:00,14,Oriente,-23.53901866096711,-46.60793723594046,09:00:00,900,32,1,4,15,15,0,0,0,12.294279,8,2,0.0,0.0,0.0,0.0,0.0,0.0,-23.53901866096711,-46.60793723594046,0.0,0.0,1,2,3,1,1,0,3,3579.58
17181,10,Canindé,-23.52180466403589,-46.61598374631716,-23.52180466403589,-46.61598374631716,4/08/2018,5,06:40:00,10,Canindé,-23.524228659924372,-46.619088483300594,06:50:00,600,38,1,4,15,15,0,0,0,12.294279,8,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.52180466403589,-46.61598374631716,0.0,0.0,1,2,8,1,0,0,5,1976.34
17182,10,Canindé,-23.524228659924372,-46.619088483300594,-23.52180466403589,-46.61598374631716,4/08/2018,5,06:50:00,10,Canindé,-23.525331814607405,-46.62328380548702,07:00:00,600,38,1,4,15,15,0,0,0,12.294279,4,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.52180466403589,-46.61598374631716,0.0,0.0,1,2,8,1,0,0,5,1976.34
17183,10,Canindé,-23.525331814607405,-46.62328380548702,-23.52180466403589,-46.61598374631716,4/08/2018,5,07:05:00,10,Canindé,-23.52180466403589,-46.61598374631716,07:15:00,600,38,1,4,15,15,0,0,0,12.294279,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.52180466403589,-46.61598374631716,0.0,0.0,1,2,3,1,0,0,5,1976.34
17184,10,Canindé,-23.52180466403589,-46.61598374631716,-23.52180466403589,-46.61598374631716,4/08/2018,5,12:50:00,10,Canindé,-23.524228659924372,-46.619088483300594,13:00:00,600,38,1,4,15,15,0,0,0,12.294279,8,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.52180466403589,-46.61598374631716,0.0,0.0,1,2,8,1,0,0,5,1976.34
17185,10,Canindé,-23.524228659924372,-46.619088483300594,-23.52180466403589,-46.61598374631716,4/08/2018,5,13:00:00,10,Canindé,-23.52180466403589,-46.61598374631716,13:15:00,900,38,1,4,15,15,0,0,0,12.294279,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.52180466403589,-46.61598374631716,0.0,0.0,1,2,3,1,0,0,5,1976.34
17186,10,Canindé,-23.52180466403589,-46.61598374631716,-23.52180466403589,-46.61598374631716,4/08/2018,5,17:50:00,10,Canindé,-23.523515414164187,-46.61994157330005,18:00:00,600,38,1,4,15,15,0,0,0,12.294279,8,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.52180466403589,-46.61598374631716,0.0,0.0,1,2,8,1,0,0,5,1976.34
17187,10,Canindé,-23.523515414164187,-46.61994157330005,-23.52180466403589,-46.61598374631716,4/08/2018,5,18:05:00,10,Canindé,-23.52180466403589,-46.61598374631716,18:20:00,900,38,1,4,15,15,0,0,0,12.294279,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.52180466403589,-46.61598374631716,0.0,0.0,1,2,3,1,0,0,5,1976.34
17188,10,Canindé,-23.52180466403589,-46.61598374631716,-23.52180466403589,-46.61598374631716,4/08/2018,5,06:40:00,10,Canindé,-23.524228659924372,-46.619088483300594,06:50:00,600,9,2,4,15,15,0,0,0,7.434710000000001,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,1,0,0,5,1976.34
17189,10,Canindé,-23.524228659924372,-46.619088483300594,-23.52180466403589,-46.61598374631716,4/08/2018,5,06:50:00,10,Canindé,-23.525331814607405,-46.62328380548702,07:00:00,600,9,2,4,15,15,0,0,0,7.434710000000001,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,1,0,0,5,1976.34
17191,10,Canindé,-23.523515414164187,-46.61994157330005,-23.52180466403589,-46.61598374631716,4/08/2018,5,18:05:00,10,Canindé,-23.52180466403589,-46.61598374631716,18:20:00,900,9,2,4,15,15,0,0,0,7.434710000000001,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,1,0,0,5,1976.34
17192,10,Canindé,-23.52180466403589,-46.61598374631716,-23.52180466403589,-46.61598374631716,4/08/2018,5,06:40:00,10,Canindé,-23.524228659924372,-46.619088483300594,06:50:00,600,5,2,4,15,15,0,0,0,7.434710000000001,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,1,0,0,5,1976.34
17193,10,Canindé,-23.524228659924372,-46.619088483300594,-23.52180466403589,-46.61598374631716,4/08/2018,5,13:00:00,10,Canindé,-23.52180466403589,-46.61598374631716,13:15:00,900,5,2,4,15,15,0,0,0,7.434710000000001,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,1,0,0,5,1976.34
17406,66,Bandeirantes,-23.607309116406064,-46.672603278314924,-23.607309116406064,-46.672603278314924,11/06/2018,0,10:00:00,80,Jardim Paulistano,-23.56211312391721,-46.68432447564699,10:40:00,2400,53,1,4,15,15,0,0,0,84.261764,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.56211312391721,-46.68432447564699,0.0,0.0,8,1,1,2,3,0,1,22448.97
17408,66,Bandeirantes,-23.612452731435283,-46.661163575019195,-23.612452731435283,-46.661163575019195,25/10/2018,3,08:15:00,211,Vila Formosa,-23.571121988380064,-46.53740707817943,09:30:00,4500,39,1,4,15,15,0,0,0,69.2028,8,2,0.0,0.0,0.0,0.0,0.0,0.0,-23.571121988380064,-46.53740707817943,0.0,0.0,4,2,3,3,1,0,2,6142.58
17580,66,Bandeirantes,-23.609520636043307,-46.66512485659049,-23.609520636043307,-46.66512485659049,27/09/2018,3,08:50:00,66,Bandeirantes,-23.61094931912478,-46.662418587183524,08:55:00,300,22,1,4,15,15,0,0,0,62.451829000000004,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.61094931912478,-46.662418587183524,0.0,0.0,1,2,3,1,0,0,4,2588.93
17581,66,Bandeirantes,-23.61094931912478,-46.662418587183524,-23.609520636043307,-46.66512485659049,27/09/2018,3,18:00:00,66,Bandeirantes,-23.609520636043307,-46.66512485659049,18:05:00,300,22,1,4,15,15,0,0,0,62.451829000000004,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.61094931912478,-46.662418587183524,0.0,0.0,1,2,3,1,0,0,4,2588.93
17786,339,Cidade Universitária,-23.564705399851533,-46.71236475391009,-23.57215875488987,-46.62110605963357,13/03/2018,1,21:20:00,19,Cambuci,-23.57215875488987,-46.62110605963357,22:30:00,4200,25,2,4,15,15,0,0,0,226.23640299999997,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,1,0,0,3,5200.0
17838,339,Cidade Universitária,-23.571489892300534,-46.7227195691098,-23.54995357204331,-46.67139661742863,15/09/2018,5,18:00:00,31,Vila Buarque,-23.548243431036337,-46.651432241187365,19:15:00,4500,54,2,4,15,15,0,0,0,22.343047,3,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.571489892300534,-46.7227195691098,0.0,0.0,7,1,3,6,1,0,2,8000.0
17896,339,Cidade Universitária,-23.563795748352142,-46.7146060491076,-23.583596610777313,-46.682580279200685,5/10/2018,4,14:00:00,68,Chácara Itaim,-23.583596610777313,-46.682580279200685,14:35:00,2100,35,1,4,15,15,0,0,0,176.151615,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.563795748352142,-46.7146060491076,0.0,0.0,1,1,3,1,1,0,3,4209.08
17929,339,Cidade Universitária,-23.559553175555834,-46.734005212279484,-23.562901157382974,-46.682434085604456,19/09/2018,2,21:45:00,80,Jardim Paulistano,-23.562901157382974,-46.682434085604456,22:30:00,2700,24,2,4,15,15,0,0,0,37.708902,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.560306336966917,-46.73448529272869,0.0,0.0,6,1,3,2,1,0,1,8964.25
17938,339,Cidade Universitária,-23.561739043167947,-46.724208686884594,-23.56453994382923,-46.69615981478303,29/05/2018,1,20:00:00,82,Pinheiros,-23.56453994382923,-46.69615981478303,20:30:00,1800,24,1,4,15,15,0,0,0,90.595228,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2,1,0,3,4949.29
17939,339,Cidade Universitária,-23.561974772152745,-46.72818888312167,-23.563264657690734,-46.6988275564119,14/08/2018,1,20:00:00,82,Pinheiros,-23.563264657690734,-46.6988275564119,20:25:00,1500,34,1,4,15,15,0,0,0,101.88726199999999,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.561974772152745,-46.72818888312167,0.0,0.0,7,2,3,2,0,0,3,4689.12
17945,339,Cidade Universitária,-23.559691042094872,-46.741059890276155,-23.569418735073103,-46.698407102865026,21/08/2018,1,17:00:00,82,Pinheiros,-23.569418735073103,-46.698407102865026,17:30:00,1800,29,2,4,15,15,0,0,0,90.595228,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,3,0,0,0,0,5245.89
17947,339,Cidade Universitária,-23.563795748352142,-46.7146060491076,-23.56941830686633,-46.69844628339483,1/09/2018,5,14:00:00,82,Pinheiros,-23.56941830686633,-46.69844628339483,14:15:00,900,30,1,4,15,15,0,0,0,101.88726199999999,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.563795748352142,-46.7146060491076,0.0,0.0,1,1,3,2,2,0,2,7222.81
17948,339,Cidade Universitária,-23.561256474597585,-46.72293872750977,-23.56941830686633,-46.69844628339483,1/09/2018,5,16:00:00,82,Pinheiros,-23.56941830686633,-46.69844628339483,16:30:00,1800,26,2,4,15,15,0,0,0,90.595228,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.561256474597585,-46.72293872750977,0.0,0.0,1,1,3,2,2,0,2,7222.81
17954,339,Cidade Universitária,-23.561468610258775,-46.7290442923003,-23.549117345543607,-46.69028071848571,22/03/2018,3,17:00:00,83,Vila Madalena,-23.549117345543607,-46.69028071848571,17:30:00,1800,23,2,4,15,15,0,0,0,71.106223,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,3,2,1,0,2,9300.0
17982,339,Cidade Universitária,-23.557991069563037,-46.73237823989678,-23.54497694870888,-46.688210060084025,10/04/2018,1,12:00:00,83,Vila Madalena,-23.551431668614043,-46.69170123615349,12:35:00,2100,44,1,4,15,15,0,0,0,48.563755,3,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.557991069563037,-46.73237823989678,0.0,0.0,7,1,8,2,1,0,1,11125.56
18014,339,Cidade Universitária,-23.560125066816507,-46.72968301865655,-23.550877735985807,-46.7183368447048,11/09/2018,1,19:00:00,97,Boaçava,-23.550877735985807,-46.7183368447048,19:10:00,600,60,2,4,15,15,0,0,0,50.574951,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.560125066816507,-46.72968301865655,0.0,0.0,7,1,3,1,1,0,3,7000.0
18023,339,Cidade Universitária,-23.561468610258775,-46.7290442923003,-23.538669641904026,-46.72155714765651,19/09/2018,2,11:45:00,97,Boaçava,-23.538669641904026,-46.72155714765651,12:00:00,900,25,2,4,15,15,0,0,0,58.633812,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,1,0,3,3391.41
18130,339,Cidade Universitária,-23.5668297300283,-46.73738246883051,-23.594544113934877,-46.69806422004264,20/10/2018,5,20:00:00,317,Jóquei Clube,-23.594544113934877,-46.69806422004264,20:20:00,1200,31,2,4,15,15,0,0,0,20.247035999999998,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.5668297300283,-46.73738246883051,0.0,0.0,7,1,3,1,0,0,3,4689.12
18138,339,Cidade Universitária,-23.55589647068122,-46.73072474015338,-23.633541121378357,-46.73106773058888,18/10/2018,3,15:00:00,321,Jardim Vitória Régia,-23.633541121378357,-46.73106773058888,16:00:00,3600,30,2,4,15,15,0,0,0,160.867774,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,3,2,2,0,1,15500.0
18198,339,Cidade Universitária,-23.56489974897807,-46.74039384842013,-23.576919670098434,-46.761929096568174,25/06/2018,0,19:00:00,335,Jardim Ester Yolanda,-23.576919670098434,-46.761929096568174,19:30:00,1800,60,1,4,15,15,0,0,0,410.532709,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.576419820870356,-46.7072165164676,0.0,0.0,7,1,3,1,1,0,4,3044.22
18228,339,Cidade Universitária,-23.564374973904723,-46.72346920991564,-23.570473753011715,-46.713350634220035,29/05/2018,1,18:00:00,340,Butantã,-23.570473753011715,-46.713350634220035,18:20:00,1200,26,2,4,15,15,0,0,0,91.27409499999999,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,1,0,0,3,5700.0
18237,339,Cidade Universitária,-23.56130545795455,-46.72503567147675,-23.567405471640374,-46.70578724667478,18/09/2017,0,17:30:00,340,Butantã,-23.567405471640374,-46.70578724667478,17:45:00,900,53,1,4,15,15,0,0,0,53.178093000000004,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.56130545795455,-46.72503567147675,0.0,0.0,1,1,8,2,2,0,1,14574.08
18247,339,Cidade Universitária,-23.56263702445957,-46.71322936963275,-23.564790872874507,-46.70787923678013,26/06/2018,1,18:15:00,340,Butantã,-23.564790872874507,-46.70787923678013,18:20:00,300,20,1,4,15,15,0,0,0,31.100136,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,1,0,1,26500.0
18268,339,Cidade Universitária,-23.561468610258775,-46.7290442923003,-23.57645460894812,-46.70898042618058,8/06/2018,4,19:30:00,340,Butantã,-23.57645460894812,-46.70898042618058,19:50:00,1200,24,2,4,15,15,0,0,0,31.100136,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,1,1,0,2,9680.0
18284,339,Cidade Universitária,-23.559691042094872,-46.741059890276155,-23.574951747857558,-46.720785783257234,8/03/2018,3,17:40:00,341,Jardim Caxingui,-23.574951747857558,-46.720785783257234,18:00:00,1200,27,1,4,15,15,0,0,0,203.695279,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0,0,0,0,6710.35
18370,30,Higienópolis,-23.548202524952245,-46.65697574834639,-23.552018812009937,-46.64369208088259,23/11/2017,3,14:10:00,4,Ladeira da Memória,-23.552018812009937,-46.64369208088259,14:25:00,900,46,1,4,15,15,0,0,0,660.2955,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.548202524952245,-46.65697574834639,0.0,0.0,7,1,1,1,0,0,6,1680.76
18404,30,Higienópolis,-23.545957997626523,-46.6591416713099,-23.545957997626523,-46.6591416713099,22/08/2017,1,17:00:00,6,Santa Ifigênia,-23.539469857612488,-46.644251049652915,17:15:00,900,54,1,4,15,15,0,0,0,93.48866600000001,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,1,0,1,20000.0
18526,30,Higienópolis,-23.54612135569401,-46.65906536234069,-23.54612135569401,-46.65906536234069,8/10/2018,0,09:00:00,6,Santa Ifigênia,-23.53636501022014,-46.63982462219618,09:15:00,900,56,1,4,15,15,0,0,0,93.48866600000001,8,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.54612135569401,-46.65906536234069,0.0,0.0,5,2,1,2,1,0,1,13807.95
18553,30,Higienópolis,-23.547136095976732,-46.65959723280475,-23.547136095976732,-46.65959723280475,30/09/2018,6,07:00:00,72,Vila Cordeiro,-23.61483798877339,-46.698580459525516,07:35:00,2100,52,1,4,15,15,0,0,0,93.48866600000001,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.61483798877339,-46.698580459525516,0.0,0.0,8,1,3,4,1,0,1,8046.56
18607,30,Higienópolis,-23.54095634265156,-46.6573452707696,-23.54095634265156,-46.6573452707696,1/09/2018,5,13:15:00,30,Higienópolis,-23.542167149825374,-46.653031219924124,13:25:00,600,23,2,4,15,15,0,0,0,68.091751,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,3,1,1,0,1,8000.0
18608,30,Higienópolis,-23.542167149825374,-46.653031219924124,-23.54095634265156,-46.6573452707696,1/09/2018,5,15:00:00,30,Higienópolis,-23.54095634265156,-46.6573452707696,15:10:00,600,23,2,4,15,15,0,0,0,68.091751,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,3,1,1,0,1,8000.0
18928,30,Higienópolis,-23.54526756985636,-46.651894601961516,-23.483350315383966,-46.675264974875944,6/05/2018,6,21:50:00,139,Jardim Primavera,-23.483350315383966,-46.675264974875944,22:45:00,3300,41,1,4,15,15,0,0,0,380.501735,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.54526756985636,-46.651894601961516,0.0,0.0,2,1,3,1,0,0,5,1900.0
19171,67,Vila Nova Conceição,-23.58492896748226,-46.667048251231286,-23.58492896748226,-46.667048251231286,12/10/2018,4,10:00:00,73,Berrini,-23.611560179793162,-46.69692126433415,10:25:00,1500,65,2,4,15,15,0,0,0,79.622434,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.58492896748226,-46.667048251231286,0.0,0.0,8,1,3,9,2,0,1,11125.56
19173,67,Vila Nova Conceição,-23.58492896748226,-46.667048251231286,-23.58492896748226,-46.667048251231286,12/10/2018,4,19:30:00,82,Pinheiros,-23.5676934418689,-46.700109074463086,19:55:00,1500,65,2,4,15,15,0,0,0,79.622434,8,7,0.0,0.0,0.0,0.0,0.0,0.0,-23.58492896748226,-46.667048251231286,0.0,0.0,8,1,3,9,2,0,1,11125.56
19324,201,Vila Curuçá,-23.4947990218188,-46.41203836414237,-23.484434800737212,-46.41763618348307,30/05/2018,2,07:05:00,199,Jardim Helena,-23.484434800737212,-46.41763618348307,07:15:00,600,29,2,4,15,15,0,0,0,1532.724811,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,1,1,0,3,1500.0
19586,78,Oscar Freire,-23.558489154588006,-46.66784095904553,-23.562470345759873,-46.64506622739977,13/08/2018,0,20:30:00,27,Bela Vista,-23.562470345759873,-46.64506622739977,21:10:00,2400,33,1,4,15,15,0,0,0,256.262226,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.558489154588006,-46.66784095904553,0.0,0.0,1,1,3,2,1,0,4,2884.19
19644,78,Oscar Freire,-23.562262389136112,-46.66965189380785,-23.62084239565717,-46.69450253643788,19/05/2018,5,19:10:00,72,Vila Cordeiro,-23.62084239565717,-46.69450253643788,19:50:00,2400,36,1,4,15,15,0,0,0,128.670164,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.562262389136112,-46.66965189380785,0.0,0.0,8,1,3,2,1,0,2,10000.0
19682,78,Oscar Freire,-23.562775294295314,-46.66645504605979,-23.562775294295314,-46.66645504605979,23/10/2018,1,06:30:00,49,Ana Rosa,-23.580373949245413,-46.63854862681749,07:00:00,1800,23,1,4,15,15,0,0,0,104.030268,8,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.562775294295314,-46.66645504605979,0.0,0.0,1,1,3,2,2,0,1,11742.85
19683,78,Oscar Freire,-23.562775294295314,-46.66645504605979,-23.562775294295314,-46.66645504605979,23/10/2018,1,15:00:00,68,Chácara Itaim,-23.584175460645678,-46.67329946333652,15:10:00,600,23,1,4,15,15,0,0,0,104.030268,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.562775294295314,-46.66645504605979,0.0,0.0,8,2,3,2,2,0,1,11742.85
19739,78,Oscar Freire,-23.562108648443395,-46.66124491434303,-23.562108648443395,-46.66124491434303,11/04/2018,2,08:30:00,6,Santa Ifigênia,-23.53793696199648,-46.633752008426285,09:00:00,1800,49,1,4,15,15,0,0,0,147.563342,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.53793696199648,-46.633752008426285,0.0,0.0,1,1,8,2,1,0,1,8046.56
20014,78,Oscar Freire,-23.562158799463813,-46.667524836656284,-23.532822869387665,-46.69066005476805,7/04/2018,5,10:00:00,2,Parque Dom Pedro,-23.540719626370404,-46.6284581224549,10:50:00,3000,55,2,4,15,15,0,0,0,89.242681,3,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.560885122916723,-46.693458195797426,0.0,0.0,8,1,4,5,1,2,2,12500.0
20075,78,Oscar Freire,-23.560685194381296,-46.66599765478058,-23.63475031191673,-46.70423785961038,30/06/2018,5,17:00:00,300,Granja Julieta,-23.63475031191673,-46.70423785961038,17:40:00,2400,53,1,4,15,15,0,0,0,413.893829,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.560685194381296,-46.66599765478058,0.0,0.0,8,1,3,2,1,0,1,15382.72
20212,6,Santa Ifigênia,-23.540935927520753,-46.64224180173343,-23.540935927520753,-46.64224180173343,21/03/2018,2,05:40:00,9,Ponte Pequena,-23.526835412697263,-46.63406540317865,06:00:00,1200,21,1,4,15,15,0,0,0,161.546623,8,2,0.0,0.0,0.0,0.0,0.0,0.0,-23.526835412697263,-46.63406540317865,0.0,0.0,1,1,3,1,0,0,4,4337.0
20279,6,Santa Ifigênia,-23.53533016655411,-46.63518893519601,-23.525357996984358,-46.63973715185181,17/05/2018,3,15:00:00,7,Luz,-23.525357996984358,-46.63973715185181,15:10:00,600,36,1,4,15,15,0,0,0,340.106426,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.53533016655411,-46.63518893519601,0.0,0.0,1,1,3,1,0,0,5,3300.0
20308,6,Santa Ifigênia,-23.539469857612488,-46.644251049652915,-23.545957997626523,-46.6591416713099,22/08/2017,1,19:30:00,30,Higienópolis,-23.545957997626523,-46.6591416713099,19:45:00,900,54,1,4,15,15,0,0,0,93.48866600000001,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,1,0,1,20000.0
20309,6,Santa Ifigênia,-23.53636501022014,-46.63982462219618,-23.54612135569401,-46.65906536234069,8/10/2018,0,17:00:00,30,Higienópolis,-23.54612135569401,-46.65906536234069,17:15:00,900,56,1,4,15,15,0,0,0,93.48866600000001,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.54612135569401,-46.65906536234069,0.0,0.0,5,2,3,2,1,0,1,13807.95
20318,6,Santa Ifigênia,-23.53910815086323,-46.643443407484796,-23.53154618994603,-46.65570930350936,4/10/2018,3,15:50:00,36,Marechal Deodoro,-23.53154618994603,-46.65570930350936,16:00:00,600,60,1,4,15,15,0,0,0,649.162379,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.53910815086323,-46.643443407484796,0.0,0.0,1,2,3,1,1,0,3,3391.41
20364,6,Santa Ifigênia,-23.53793696199648,-46.633752008426285,-23.562108648443395,-46.66124491434303,11/04/2018,2,17:30:00,78,Oscar Freire,-23.562108648443395,-46.66124491434303,18:00:00,1800,49,1,4,15,15,0,0,0,147.563342,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.53793696199648,-46.633752008426285,0.0,0.0,1,1,3,2,1,0,1,8046.56
20443,6,Santa Ifigênia,-23.538325293913047,-46.63460892054462,-23.519400537840404,-46.603957848835414,27/05/2018,6,19:40:00,164,Vila Guilherme,-23.519400537840404,-46.603957848835414,20:20:00,2400,42,1,4,15,15,0,0,0,79.292268,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.538325293913047,-46.63460892054462,0.0,0.0,7,1,3,1,1,0,4,1800.0
20847,49,Ana Rosa,-23.57994923539095,-46.63600580146606,-23.57994923539095,-46.63600580146606,1/09/2018,5,13:40:00,238,Alto do Ipiranga,-23.60253318458076,-46.613639934158556,14:00:00,1200,56,2,4,15,15,0,0,0,71.885533,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.57994923539095,-46.63600580146606,0.0,0.0,2,2,5,1,0,0,2,2000.0
20922,49,Ana Rosa,-23.58137175221533,-46.63555315061753,-23.58137175221533,-46.63555315061753,17/08/2018,4,13:30:00,22,Pires da Mota,-23.568417441355816,-46.636019643505875,13:50:00,1200,53,1,4,15,15,0,0,0,106.81948799999999,8,4,0.0,0.0,0.0,0.0,0.0,0.0,-23.581617654687157,-46.63621263931197,0.0,0.0,1,1,3,0,2,0,2,5819.68
20990,49,Ana Rosa,-23.580373949245413,-46.63854862681749,-23.562775294295314,-46.66645504605979,23/10/2018,1,11:30:00,78,Oscar Freire,-23.562775294295314,-46.66645504605979,12:00:00,1800,23,1,4,15,15,0,0,0,104.030268,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.562775294295314,-46.66645504605979,0.0,0.0,1,1,3,2,2,0,1,11742.85
21446,31,Vila Buarque,-23.55173258688563,-46.654502603098166,-23.55173258688563,-46.654502603098166,5/10/2018,4,09:20:00,69,Vila Olímpia,-23.590528594029855,-46.67953328496774,09:50:00,1800,34,2,4,15,15,0,0,0,186.002523,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.590528594029855,-46.67953328496774,0.0,0.0,8,2,3,1,0,0,3,3400.0
21515,31,Vila Buarque,-23.548243431036337,-46.651432241187365,-23.54995357204331,-46.67139661742863,15/09/2018,5,22:30:00,33,Pacaembu,-23.54995357204331,-46.67139661742863,22:45:00,900,54,2,4,15,15,0,0,0,22.343047,4,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.571489892300534,-46.7227195691098,0.0,0.0,7,2,3,6,1,0,2,8000.0
22024,19,Cambuci,-23.57215875488987,-46.62110605963357,-23.57215875488987,-46.62110605963357,13/03/2018,1,10:30:00,339,Cidade Universitária,-23.564705399851533,-46.71236475391009,12:00:00,5400,25,2,4,15,15,0,0,0,226.23640299999997,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,5,1,0,0,3,5200.0
22358,81,Jardim Europa,-23.576402193485247,-46.687338110057894,-23.611957831313298,-46.64574220972841,8/05/2018,1,18:30:00,60,Planalto Paulista,-23.611957831313298,-46.64574220972841,19:00:00,1800,36,2,4,15,15,0,0,0,148.497533,2,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.576402193485247,-46.687338110057894,0.0,0.0,6,1,3,3,1,1,3,5000.0
22369,81,Jardim Europa,-23.576724719037436,-46.67086347951918,-23.606379662572778,-46.65569736149806,24/08/2018,4,16:30:00,64,Moema,-23.606379662572778,-46.65569736149806,16:55:00,1500,31,1,4,15,15,0,0,0,174.204676,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.576724719037436,-46.67086347951918,0.0,0.0,5,1,3,1,1,0,2,7500.0
