,NomeDistri,Area_ha_2,population,lane_length,protected_length,bike_lane_length,sharrow_length,density_area,density_percent
83,Tucuruvi,9.47,98438,173.61,0.0,0.0,0.0,0.0,0.0
84,Vila Andrade,10.33,127015,165.68,3.66,9.46,0.0,0.28,0.32
85,Vila Curuçá,9.52,162486,200.8,0.0,2.26,0.0,0.05,0.05
86,Vila Formosa,7.52,94799,156.94,0.0,4.75,0.0,0.14,0.12
87,Vila Guilherme,7.25,54331,116.91,2.16,8.91,0.0,0.34,0.38
88,Vila Jacuí,8.23,167965,188.06,1.3,11.49,0.0,0.34,0.28
89,Vila Leopoldina,7.0,39485,102.16,2.52,6.68,0.1,0.29,0.37
90,Vila Maria,11.82,113463,230.12,0.47,12.13,0.0,0.23,0.22
91,Vila Mariana,8.54,130484,167.83,3.17,13.38,7.85,0.43,0.4
92,Vila Matilde,8.92,104947,193.26,0.0,14.54,0.0,0.36,0.31
93,Vila Medeiros,7.89,129919,176.5,0.0,8.8,0.0,0.25,0.2
94,Vila Prudente,9.6,104242,181.37,1.56,7.88,0.0,0.22,0.21
95,Vila Sônia,10.09,108441,184.23,4.49,2.01,0.0,0.14,0.14
